feature,importance
alert_lag1,0.77001435
is_haze_season,0.07217061
lag1_x_temp,0.03546157
sin_month,0.023126626
hotspot_7d_roll,0.01600377
hotspot_14d_roll,0.0097071305
hotspot_100km,0.008440358
precip_flag,0.006530821
roll7_x_fire,0.0051686773
hotspot_50km,0.0051305764
pm25_lag1,0.004868522
mean_frp_50km,0.0037412883
pm25_roll3_mean,0.0035868483
humidity_min,0.0025469048
precipitation,0.0023062702
humidity_wind,0.0019504328
humidity_max,0.0018517314
temp_min,0.0017892031
wind_speed,0.0017781088
pm25_roll7_mean,0.0017432381
cloud_cover,0.0014538745
alert_lag7,0.0014515093
pm25_roll7_std,0.0013364786
sin_doy,0.0012470777
pm25_roll14_mean,0.0011412738
pm25_roll14_std,0.0011115068
lag1_x_wind,0.0011076716
wind_dir_cos,0.0010746324
week,0.0010472037
fire_flag,0.001030394
temp_mean,0.0008801573
day_of_year,0.0008514699
cos_doy,0.0007975499
wind_dir_sin,0.0007926637
pm25_roll30_mean,0.0007914601
evapotranspiration,0.0007831796
alert_lag3,0.00072425866
month,0.0007209501
pressure,0.0007093817
pm25_lag30,0.0006165364
pm25_lag14,0.0005988788
temp_max,0.0005756283
cos_month,0.0005161734
pm25_lag7,0.00042804235
pm25_lag3,0.00029504017
